$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  5313.0,   -4.80,
  5314.0,   -3.16,
  5315.0,   -6.38,
  5316.0,   -2.28,
  5317.0,   -3.96,
  5318.0,   48.57,
  5319.0,   -0.95,
  5320.0,    7.50,
  5321.0,   17.59,
  5322.0,   19.49,
  5323.0,    2.64,
  5324.0,   -3.55,
  5325.0,   -5.57,
  5326.0,   -4.21,
  5327.0,   -2.67,
  5328.0,   -6.58,
  5329.0,   -7.37,
  5330.0,   -0.37,
  5331.0,    5.25,
  5332.0,   -4.14,
  5333.0,   -6.57,
  5334.0,  -13.69,
  5335.0,  -14.19,
  5336.0,  -11.86,
  5337.0,   74.74,
  5338.0,   34.70,
  5339.0,   43.38,
  5340.0,   16.54,
  5341.0,   -6.07,
  5342.0,  -13.99,
  5343.0,    6.53,
  5344.0,   -8.08,
  5345.0,  -14.08,
  5346.0,  -14.08,
  5347.0,  -11.61,
  5348.0,  -16.13,
  5349.0,    1.61,
  5350.0,  -21.89,
  5351.0,  -23.34,
  5352.0,   -3.69,
  5353.0,    3.92,
  5354.0,  129.75,
  5355.0,  113.30,
  5356.0,   -1.64,
  5357.0,  -16.11,
  5358.0,  -25.26,
  5359.0,  -34.44,
  5360.0,  -15.05,
  5361.0,  -28.25,
  5362.0,  -15.01,
  5363.0,  -32.84,
  5364.0,  -19.47,
  5365.0,  -14.84,
  5366.0,  -29.28,
  5367.0,  -37.34,
  5368.0,   61.06,
  5369.0,   49.17,
  5370.0,   41.99,
  5371.0,   92.59,
  5372.0,   39.30,
  5373.0,   13.00,
  5374.0,   50.48,
  5375.0,  176.00,
  5376.0,  236.62,
  5377.0,  215.15,
  5378.0,  105.68,
  5379.0,   87.01,
  5380.0,   65.83,
  5381.0,  109.95,
  5382.0,   65.28,
  5383.0,  122.50,
  5384.0,   61.32,
  5385.0,   49.25,
  5386.0,   56.87,
  5387.0,   66.32,
  5388.0,   13.64,
  5389.0,   -4.25,
  5390.0,  -46.48,
  5391.0,  -40.67,
  5392.0,  -15.57,
  5393.0,    1.26,
  5394.0,  122.28,
  5395.0,  252.30,
  5396.0,   52.63,
  5397.0,    9.95,
  5398.0,   -6.71,
  5399.0,   -9.19,
  5400.0,   18.73,
  5401.0,   69.56,
  5402.0,   45.38,
  5403.0,   48.07,
  5404.0,   39.77,
  5405.0,  103.95,
  5406.0,  143.74,
  5407.0,  131.84,
  5408.0,  206.13,
  5409.0,   33.74,
  5410.0,  -41.92,
  5411.0,   46.32,
  5412.0,   40.12,
  5413.0,   71.29,
  5414.0,  159.88,
  5415.0,  106.26,
  5416.0,   74.04,
  5417.0,   74.41,
  5418.0,  169.94,
  5419.0,  193.87,
  5420.0,  135.98,
  5421.0,   98.28,
  5422.0,   58.29,
  5423.0,   77.86,
  5424.0,   39.76,
  5425.0,   25.86,
  5426.0,   71.97,
  5427.0,  158.81,
  5428.0,  170.67,
  5429.0,  182.74,
  5430.0,  132.40,
  5431.0,   90.30,
  5432.0,   54.17,
  5433.0,   14.16,
  5434.0,   -7.01,
  5435.0,   30.95,
  5436.0,   35.71,
  5437.0,    4.22,
  5438.0,    3.43,
  5439.0,  -16.81,
